aVF,aVL,aVR,I,II,III,V1,V2,V3,V4,V5,V6
9100.06725930209,-3983.9837852445,-4797.67733766731,998.928732347451,9421.31053789018,8730.37630491872,-3262.76054886771,-8259.5911426094,20458.4033356794,17328.2687027462,14106.2969779623,11638.6754156306
9196.15904224793,-4194.13490520585,-4696.60619285699,818.919219006335,9407.65346305972,8943.15826010613,-3352.14989979772,-8921.23247798609,19525.7531476077,16711.4864886422,13738.6153958471,11415.3555558955
9281.61385665887,-4401.57597303996,-4588.14288722286,633.095272200257,9382.56472792333,9145.84536553489,-3445.03709755708,-9603.90912486103,18523.1429085055,16061.2099588236,13348.5633701288,11175.5760363471
9356.39620340252,-4603.10160195509,-4473.2596935097,443.854362699392,9347.37893530874,9335.92556177392,-3540.91951687963,-10301.6498866277,17458.068914405,15381.9199785761,12938.6692365314,10920.7901410589
9419.57573734886,-4795.74491589029,-4353.43138357794,254.077264860202,9302.37347773001,9510.99727709502,-3642.50653211978,-11009.2258445914,16338.1292061793,14678.707147691,12513.0591312414,10655.0576272014
9469.74419516552,-4976.85644799379,-4230.21136944743,66.5786547066953,9247.25030410172,9668.94314632843,-3753.16144439953,-11721.241459369,15171.9013241482,13957.0409690421,12076.2704367639,10383.1092956718
9506.39791068965,-5144.0725307646,-4104.94167874562,-115.796097661296,9181.98490522636,9809.66713981011,-3876.68933878657,-12431.5790399899,13969.3914295895,13222.5609345333,11632.7992392339,10110.0600906452
9529.11344416511,-5295.51311879414,-3978.7143246299,-290.835763889102,9106.59949452312,9933.14588484434,-4014.53304744916,-13133.5402686248,12741.2590435508,12480.6394441293,11186.278808269,9839.37015518262
9537.00445098778,-5430.03989846674,-3852.0406459021,-458.006104759802,9021.22570052311,10036.9806681394,-4161.47784796321,-13819.0642285462,11499.160146074,11736.0233953286,10737.9780107385,9569.72965832446
9529.20388347597,-5547.05154718233,-3725.10354579401,-617.589800168898,8926.06490978143,10118.4175841794,-4309.70578004967,-14479.5894455251,10255.4239840781,10993.1390658578,10288.1125226852,9297.94055259588
9504.71829192112,-5646.20852539638,-3598.1374819854,-769.933171145303,8821.18255585838,10175.8388223721,-4451.3718779482,-15107.6979577316,9021.01008379601,10255.7931449921,9836.78489533357,9020.60621279705
9462.78901620561,-5727.66510124722,-3471.23783133454,-915.6318973228,8706.48545241635,10208.3447082591,-4580.16144558595,-15695.9470378399,7808.06809821896,9528.14506851032,9384.39771604681,8735.39289737046
9403.53197170994,-5792.10116390507,-3344.35349421796,-1055.09706268995,8581.66241493075,10215.7984626673,-4695.2875264454,-16236.1620733741,6632.40343010499,8815.88569016379,8932.90514547759,8444.15917077871
9327.51835879182,-5840.49024000709,-3217.39965398191,-1188.61714898964,8446.39610921021,10199.0093737809,-4798.62969764589,-16720.9055806635,5509.86745036781,8124.8062056131,8484.85000847494,8150.4441971782
9235.49142369701,-5874.21758368517,-3090.13100093976,-1316.9110385607,8300.50547536265,10160.2649548034,-4891.88509741193,-17143.5283933678,4455.16541917145,7460.19409499544,8042.37450190672,7857.07988804589
9128.35339483635,-5894.55126957761,-2962.40894005179,-1440.43893409807,8144.11510296083,10101.8949780879,-4976.5583374563,-17499.5688650973,3479.38654412933,6825.96944049682,7607.26143055609,7566.29384388313
9006.88921268938,-5901.99050711723,-2834.52838125336,-1558.77664566892,7977.97461491692,10024.2868695012,-5052.18806171692,-17789.190713278,2585.14892743591,6222.84394094895,7180.34421746222,7278.09062644955
8871.92847700846,-5896.79633892735,-2706.96075920564,-1671.17274470181,7803.17613012452,9927.49472976872,-5117.67809462515,-18015.1061250065,1770.40730621658,5649.88646578627,6761.98508559486,6991.45382536809
8724.51801365915,-5879.26689593539,-2580.216251447,-1776.72512434963,7620.83116616157,9812.57029236866,-5172.83421293201,-18180.511357724,1032.4367390914,5106.11510913653,6352.75466052424,6706.26368713481
8565.90536644859,-5849.87380624763,-2454.80209130299,-1874.57528866422,7432.1683149992,9680.91043960989,-5218.6650596072,-18289.7341695168,366.683437138176,4590.16470178429,5953.34082821893,6422.56676069656
8397.65541098055,-5809.79667490887,-2330.99555188868,-1964.5166647676,7238.44322022599,9534.4384045304,-5258.46041284091,-18347.4151442674,-231.791100371031,4101.03124323996,5564.74438750707,6140.64988119922
8221.45627154064,-5760.4906568036,-2208.99128992811,-2046.59711903683,7040.88636398765,9375.42597802972,-5296.39037923613,-18358.2595496328,-768.105410672026,3637.91947435959,5188.10116961768,5861.08473122567
8038.92530107468,-5703.18304121375,-2089.09687436129,-2120.6373498341,6840.84360751762,9205.90168463938,-5336.4020950343,-18328.179472354,-1249.43388094486,3199.26911298997,4824.37328838547,5583.99604172228
7851.594503783,-5639.05690863243,-1971.62635014028,-2186.53243566584,6639.55937838233,9027.77788761452,-5381.30634793572,-18262.3979356537,-1682.48093382846,2783.78273677428,4474.32756810483,5309.59287911681
7660.73073156298,-5569.13799417974,-1856.89881652552,-2244.25320500189,6437.90987226669,8842.73249085981,-5431.01548707698,-18163.4733430314,-2070.89411898809,2391.30969510767,4138.41644923458,5038.73606249732
7467.46399405426,-5494.31208096939,-1745.24736645046,-2293.78905688164,6236.61315321753,8652.27443366332,-5484.06496692168,-18032.8919473677,-2417.02399830064,2022.11498503388,3816.90542622989,4772.50109382872
7273.05293632693,-5415.62742297903,-1636.92717175089,-2335.41543672942,6036.40216559006,8458.18856181578,-5538.95750556316,-17871.8160363471,-2722.80285859489,1676.69993742809,3509.98868077282,4512.01901222392
7078.62236545941,-5334.01998943785,-1532.19856833919,-2369.36970941893,5837.94082910613,8262.04812430555,-5594.30525859187,-17681.3693472566,-2989.55429126207,1355.57242284144,3217.88368635452,4258.45066490366
6885.04865323507,-5250.01245762606,-1431.41711579147,-2395.46496158535,5641.88729072779,8064.77989122536,-5650.0879959637,-17464.0682944653,-3219.11216330096,1058.47857644559,2941.02370854136,4012.68429903673
6693.12449846695,-5164.03072887167,-1334.94672155847,-2413.47024034508,5448.93837112934,7867.15230348679,-5706.71234560641,-17222.965948469,-3413.43949665055,784.858098268496,2679.83733975034,3775.4187859165
6503.41066129133,-5076.55125597605,-1243.13038458492,-2423.28700344691,5259.71379637788,7669.82771108437,-5763.67848399833,-16960.4452777901,-3573.58964640439,534.415676680822,2434.5717460161,3547.36292673014
6316.63862866803,-4988.07975077198,-1156.25362342513,-2425.01627740017,5074.94287447685,7473.69465534128,-5820.21758417496,-16678.9368015967,-3700.78724588303,306.731114032284,2205.26392134983,3329.03272249012
6134.20078389391,-4899.43534052276,-1074.45480269459,-2419.31850150849,4895.71066041361,7280.61579211914,-5875.21030441266,-16381.10071211,-3797.33484248855,101.190454475442,1991.5399315385,3120.59210417804
5957.66825845162,-4811.54364335763,-997.785619128513,-2407.13455586066,4723.20761418726,7092.74880663566,-5927.23944270422,-16069.5412222066,-3865.85370809643,-82.8925318950928,1792.78996898555,2922.0099152168
5788.57319458006,-4724.95841008272,-926.272446703217,-2389.25504971867,4558.51754923732,6911.82440940563,-5975.4237199282,-15747.0314829787,-3908.98583986674,-246.478702058308,1608.45128473226,2733.16366924973
5628.15815099224,-4640.36203808181,-859.901372577002,-2366.58844359155,4402.67659954847,6739.46792146676,-6018.70206588303,-15416.2130488493,-3929.42139419693,-390.520564492133,1437.8531733783,2553.80224967046
5476.81589761838,-4558.90242505809,-798.644794452343,-2340.25510351213,4256.55400891759,6577.00881231483,-6055.08823741847,-15079.1129976682,-3929.35221812239,-515.601818094332,1280.17014163787,2383.61537871923
5334.51969132129,-4481.69274351279,-742.450379015085,-2311.33492066023,4120.83026076142,6425.39434068845,-6082.52982274899,-14737.3860766425,-3910.70993968722,-622.225056239616,1134.57120124015,2222.28737975894
5201.22183133639,-4409.83861611781,-691.208136350225,-2280.92552099472,3996.15936822779,6285.7112352273,-6099.19689075477,-14392.5323058284,-3875.73939827671,-710.950888959728,1000.17549898704,2069.42937314259
5076.81454850715,-4343.87174316713,-644.771373709854,-2249.84916911232,3882.89249515167,6158.39463689669,-6103.78886889761,-14045.7231896395,-3826.36305813822,-782.455895216508,876.236582750975,1924.75859583872
4961.39204819105,-4282.84397752977,-602.971631576404,-2218.16818721057,3780.80600884527,6042.40005689933,-6096.49950320254,-13697.7684404597,-3763.72590009979,-837.77313052182,762.44045171462,1788.32257864033
4855.07099661222,-4225.14645064276,-565.613513925564,-2185.58443761772,3689.36243583415,5936.06422384473,-6078.2862049734,-13349.2409251226,-3688.68582255105,-878.114419241223,658.66448227702,1660.30190461904
4757.66834579241,-4169.18378547712,-532.476730545884,-2151.83546246074,3607.81182322863,5837.46885937845,-6049.86077465348,-13000.5224651708,-3601.85143617077,-904.680528022956,564.738970670273,1540.84709150769
4668.85252711352,-4113.39094116798,-503.324174076616,-2116.53735963957,3535.30657501183,5744.8068793923,-6012.34904342223,-12651.8476304985,-3503.97972661527,-918.69270130363,480.549413907902,1430.11465093749
4588.19420266931,-4056.7529978817,-477.907581233631,-2079.29955471449,3471.21394774948,5657.35730887048,-5967.40619343968,-12303.4315317989,-3396.67401426349,-921.297589119767,405.972851940536,1328.17160779905
4515.10823518847,-3998.62922758803,-455.960874950421,-2039.81360595743,3414.90936033254,5574.82507876709,-5916.73077616807,-11955.4888834436,-3281.84983495503,-913.626541051117,340.81905413649,1234.98879549458
4448.92739829007,-3938.30789171487,-437.199562074399,-1997.65650875016,3365.54536012182,5496.56885923791,-5862.41103020201,-11608.1605566942,-3161.32792786871,-896.914345125533,284.951648676366,1150.54749828477
4388.88313252353,-3875.308546431,-421.322638389345,-1952.63530480319,3322.20699852169,5422.01993014514,-5805.95429863727,-11261.7101082774,-3036.79607757075,-872.417711324589,238.07410146098,1074.69643253655
4334.0043120955,-3809.60426179485,-408.00093507091,-1905.2033959593,3283.88372604496,5350.58061908691,-5747.0084069612,-10916.7224657565,-2909.43503276865,-841.397984393652,199.464845104885,1006.99221791039
4283.22220008418,-3741.42782231143,-396.89618516307,-1856.09612821826,3249.5053043263,5281.60804685339,-5684.46903555374,-10573.9291804745,-2780.16796480183,-805.109528282946,168.216473348258,946.84594898543
4235.54771672806,-3671.11446132688,-387.694746276601,-1806.06545477546,3218.17437577039,5214.8974066189,-5617.22114071158,-10234.109198557,-2649.97059678983,-764.69575743837,143.415909849783,893.639998862311
4189.91109783681,-3599.27721927079,-380.082636755213,-1755.91947483097,3188.94505845143,5150.09807185067,-5544.25959658229,-9898.06004503212,-2519.82345908159,-721.278309246949,124.116016990492,846.694776536167
4145.061621174,-3526.84931459506,-373.73172244349,-1706.30929327307,3160.61059486408,5086.15406471956,-5465.52247452162,-9566.43751814118,-2390.82644862931,-676.046031257114,109.472478111997,805.328654868489
4099.78914893908,-3454.80408679601,-368.333741687889,-1657.76035392725,3131.98242472622,5021.83150881537,-5381.47633386641,-9239.83524598039,-2264.06867782853,-630.126014681136,98.7301760333798,768.894477110296
4052.94702582013,-3384.15866006892,-363.599149219223,-1610.8931552379,3101.96400395817,4955.82031588168,-5292.42050417094,-8918.9245208447,-2140.46034717451,-584.550132821144,91.0794176986669,736.72030175071
4003.67711811078,-3315.59840579619,-359.298466600235,-1566.14449899959,3069.72496936438,4887.11164278398,-5198.8607451216,-8604.33364975483,-2020.70096782011,-540.162275371853,85.8491185327007,708.231644021519
3951.78555532141,-3248.88160156778,-355.325231604424,-1523.50816903621,3035.06782733104,4815.69005259404,-5101.65917874313,-8296.5815881828,-1905.16525888768,-497.44353071876,82.6883610129366,683.111021646448
3897.42436686364,-3183.35327925636,-351.640594012334,-1482.77451653347,2998.12936180109,4741.97810646092,-5001.84729920356,-7996.14056711563,-1794.0224832295,-456.652849188424,81.4010215512226,661.160073311725
3840.79582241886,-3118.45367614735,-348.228395144274,-1443.64696335585,2959.06563667917,4666.44327117006,-4900.56750620392,-7703.41997841952,-1687.37082495925,-417.966766157687,81.8700716727926,642.169364909454
3782.22361057521,-3053.54681284295,-345.097907490604,-1405.77688875145,2918.16115324718,4589.49353750551,-4799.17139372805,-7418.80996309099,-1585.2414714831,-381.449229740044,84.026207579398,625.980231154463
3721.9904687859,-2988.09752128738,-342.244820389683,-1368.96800747066,2875.7205502955,4510.99104817147,-4699.19386645776,-7142.77547087239,-1487.69653152352,-347.11747932403,87.6951038813004,612.450138886028
3660.36207585946,-2921.74301203014,-339.66658489506,-1333.09318224941,2832.04737464851,4430.63707060762,-4602.10684177987,-6875.7847624104,-1394.76642228744,-314.941594941528,92.6729945739394,601.40669087421
3597.80103425083,-2854.01110258658,-337.403948318448,-1297.92706879696,2787.62752451633,4348.40631878759,-4509.32376635166,-6618.23600239472,-1306.33387982374,-284.773337986572,98.8545818850303,592.720190867336
3534.6922742848,-2784.7361764885,-335.494306966725,-1263.31195460799,2742.85782641214,4264.43830735652,-4421.79748087246,-6370.48991615465,-1222.22991628079,-256.43901205421,106.117565362321,586.158081115831
3471.10166315718,-2714.55122793254,-333.942077869347,-1229.26447456778,2697.77614058952,4179.21818472188,-4339.44788003132,-6132.86158829666,-1142.2656507131,-229.828219683447,114.264480980286,581.196925045866
3406.98409530723,-2644.43528283935,-332.742398705215,-1195.86888916806,2652.28796301488,4093.42107588085,-4261.66039341047,-5905.59832882128,-1066.2129042725,-204.838177072153,123.084447297273,577.201192528655
3342.22403926793,-2575.37754606875,-331.867374152076,-1163.26783665389,2606.24266174984,4007.54480232515,-4187.74907172171,-5688.90044004397,-993.892147872775,-181.348974747011,132.328486490564,573.562993308095
3276.73970777948,-2508.44182860714,-331.299019261931,-1131.60474414302,2559.51400752068,3922.12549299375,-4116.88982059924,-5482.88760003241,-925.064747418322,-159.228781657895,141.776931963747,569.678600596609
3210.7468554184,-2444.51656840636,-331.082035491728,-1100.88851349725,2512.25231040576,3837.86068623263,-4048.34328790605,-5287.53784109847,-859.297575538661,-138.305853055676,151.356162331111,565.053782313518
3144.55651185923,-2384.31572316224,-331.271874496451,-1071.07502466574,2464.70059920256,3755.41297013689,-3981.50562915579,-5102.737707161,-796.124203436738,-118.374797311876,161.043729837682,559.288411690346
3078.37308304158,-2328.64750818969,-331.902064503325,-1042.15840903911,2416.98918342932,3675.43852441247,-3915.71736140901,-4928.34110095202,-735.121904545859,-99.2167065689728,170.793937738992,551.953791167754
3012.3807775552,-2278.01267736196,-332.978252680714,-1014.11137627412,2369.23993795999,3598.4083947917,-3850.45790047087,-4764.10728329265,-675.959645673652,-80.5998926549573,180.559408281113,542.761621208787
2946.6759818048,-2232.21128851569,-334.433962712146,-986.882775656084,2321.52972597263,3524.28769956389,-3785.69281323485,-4609.69601456711,-618.569040872762,-62.2635894405375,190.240698542558,531.709903972473
2881.30148533591,-2190.70605469035,-336.1653040902,-960.41333755607,2273.90080815802,3452.79166657532,-3721.57988159376,-4464.69540116679,-563.011842319328,-43.9396617452371,199.716591421273,518.943767655122
2816.41780114188,-2152.80186052715,-338.084952910591,-934.60052497434,2226.50944680926,3383.64191115536,-3658.03483573052,-4328.54789879168,-509.286341744437,-25.4182301901783,208.927831296877,504.721684012051
2752.13859944764,-2117.72202045532,-340.090078955607,-909.346044919469,2179.47036448741,3316.46199160287,-3595.27654674048,-4200.69033694272,-457.44908101319,-6.47506244878332,217.803562459218,489.334710653604
2688.38798109503,-2084.94534982907,-342.055358072929,-884.613200079247,2132.70657294126,3250.85196237646,-3534.02563867093,-4080.72800430494,-407.644214939983,13.2034218352619,226.207866957869,472.92271955829
2625.06668577323,-2054.04090807339,-343.856957699378,-860.384233560814,2086.11310570697,3186.44072625429,-3475.09923521307,-3968.24887213533,-360.003343541423,33.8981238926249,234.008456915456,455.603004443943
2562.07738656247,-2024.40057560568,-345.356528901897,-836.641821397752,2039.59510171726,3122.75540899632,-3419.73693988419,-3862.73475616052,-314.698369476594,55.8077325344448,241.07801657661,437.593135579834
2499.43099107518,-1995.47430542279,-346.445048600258,-813.362631944336,1993.15626710097,3059.45123800358,-3368.51287866581,-3763.53308185974,-271.781252817404,79.0024957835249,247.348535892615,419.149989887956
2437.47776634008,-1966.87359818226,-347.102259373942,-790.481736762962,1947.1096462433,2996.57564018069,-3320.08496793066,-3669.66266087023,-230.948227568631,103.273859812889,252.918027713911,400.615544163469
2376.70918627291,-1938.27676126153,-347.345910261708,-767.921010334045,1901.89797394269,2934.34242449267,-3272.41091478333,-3579.99524841951,-191.747667531422,128.261427113677,257.957128098507,382.37220644586
2317.55057067624,-1909.50571422721,-347.197671176545,-745.618991776299,1857.89847121231,2872.99163843463,-3223.2234555183,-3493.5474104968,-153.750918662252,153.652052195462,262.616386970273,364.70965572545
2260.4369569049,-1880.38698129267,-346.682093964743,-723.522021107455,1815.4978374844,2812.78163849872,-3170.8201176845,-3409.29138265464,-116.518633373786,179.047307320713,267.057511361638,347.930831887454
2205.74662429508,-1850.5442088172,-345.787278171666,-701.599785269222,1775.03788705107,2753.82291209633,-3115.60745677375,-3326.07814481386,-79.7170970224597,203.906927894852,271.417071988975,332.428698115945
2153.78096610415,-1819.57027007788,-344.48644336508,-679.833341412861,1736.79240602244,2696.14681232205,-3058.85266045396,-3242.84573729831,-43.0943414850171,227.701347521086,275.801273042153,318.575108526971
2104.88782911293,-1787.12758129502,-342.779287527935,-658.185342842301,1701.07837877648,2639.85675077941,-3001.68638053505,-3158.58681270928,-6.3389524358663,249.900808258727,280.345994614895,306.719687986754
2059.27076389863,-1752.9737568404,-340.654955749771,-636.630251785099,1668.0800166538,2584.98942815883,-2944.95015296376,-3072.60181444482,30.7428035544644,270.133518050307,285.126012775376,297.078805176229
2016.79918719174,-1717.09668900352,-338.074655606364,-615.168544282814,1637.671013683,2531.42582591214,-2888.22206243992,-2984.89714535893,68.0784418479079,288.464750747272,290.068631683696,289.557366804705
1977.17939007328,-1679.61112899681,-334.990261832684,-593.810737170421,1609.57384437337,2478.97694198818,-2830.57089173089,-2895.84738892382,105.468786046853,305.165266730172,295.032251672682,283.899160203743
1940.01266777601,-1640.64126972975,-331.32841006592,-572.601781122786,1583.4147301047,2427.39025752437,-2771.4746511426,-2805.88966490208,142.613964817957,320.460297375286,299.827988313882,279.801830830508
1904.8733846317,-1600.34863462915,-327.025297611782,-551.57544177068,1558.79617470388,2376.39989017903,-2710.66692915771,-2715.59617172519,179.197758621667,334.647827150861,304.262811877664,276.922562549932
1871.51451013967,-1558.87602414661,-322.075876962654,-530.68999893098,1535.48837007018,2325.82878725853,-2648.46644453998,-2625.51179043449,215.075488061877,348.058921334179,308.241384138848,274.994622147046
1839.72306405487,-1516.38281999133,-316.488255904782,-509.899951454339,1513.29346144523,2275.53779008229,-2585.52463679603,-2536.15208972711,250.138816527923,360.9731841741,311.69103420398,273.765612938222
1809.17096829333,-1473.13467557233,-310.259224439294,-489.198166171943,1491.90619635704,2225.38033828649,-2522.32409443693,-2448.19431704058,284.189728900577,373.727821838887,314.490906444223,272.885887738614
1779.4944128081,-1429.41457808473,-303.367634300219,-468.619535612249,1470.9868222304,2175.21981749256,-2459.29072891043,-2362.2100438269,316.998187785401,386.494270916709,316.503832745451,272.006632028525
1750.25176818295,-1385.48219001454,-295.731333740525,-448.307208557344,1450.11967500042,2124.91797734983,-2396.76228148787,-2278.40524962997,348.249466249478,398.985233298492,317.54500635201,270.816764637455
1720.96415719385,-1341.60092462428,-287.245319818285,-428.457909999634,1428.85325614582,2074.34920775921,-2335.01247206255,-2196.83106013403,377.590699201332,410.716773204591,317.411832275638,269.021686822258
1691.26854521624,-1297.95934856669,-277.836596900277,-409.216397592423,1406.84592649899,2023.40363307854,-2274.36472067167,-2117.47698077975,404.767517584286,421.215793881818,315.966836750406,266.412999646079
1660.78716681011,-1254.78525777834,-267.433430747531,-390.756121565521,1383.74258354786,1972.01244713777,-2215.22397010348,-2040.30462259777,429.515046403987,429.978001967756,313.071249443859,262.779465785751
1629.01923111501,-1212.49294660193,-255.961904923509,-373.329409239855,1359.07352581827,1920.19630736461,-2158.12844949963,-1965.43010891566,451.478083099913,436.610092819655,308.538177745321,257.799081201117
1595.48964246906,-1171.50539398815,-243.368751169962,-357.173099976365,1332.39497257678,1867.99757147699,-2103.61752839579,-1893.02840684083,470.325570930564,440.818406807277,302.202471946362,251.159563020891
1559.7700118445,-1132.16837448441,-229.601561570119,-342.5029110565,1303.30796524008,1815.42648252832,-2052.15181107692,-1823.18556064181,485.754487206245,442.245434770638,293.919969104107,242.604232917576
1521.59535257346,-1094.69626798936,-214.659274522989,-329.435169432292,1271.57007232678,1762.47955911106,-2003.99978769314,-1755.99801198697,497.595523618059,440.692950964462,283.638225970639,231.992966900374
1481.07883839288,-1058.97886744059,-198.654749048555,-317.834335232627,1237.29983627318,1709.08417534477,-1959.03737513289,-1691.61822592461,505.992157096803,436.331403730464,271.511548863057,219.443096457314
