I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-211.8948750033882,-222.9055942352911,-86.66398702076181,221.17620997310004,-86.66345687405637,-139.4599341844356,96.06469742660373,-918.0893277525229,-1868.199504385041,-2479.6387179711837,-1489.0347008087592,-1192.7277353177053
-209.26212280424951,-220.30815924270692,-84.71333495641917,217.20129452738897,-88.05950822669905,-135.20101610578678,96.86732814757558,-914.618436836382,-1871.6197033547776,-2480.907225633233,-1485.0595282630263,-1188.6395572035701
-206.99954360818091,-221.48060407990323,-81.61930242011782,215.80159876597037,-89.57075639623342,-134.37763806798628,96.66372675706155,-912.8252348396938,-1877.0828599324095,-2481.8951573243185,-1484.447669250397,-1193.7577408844115
-205.24909324288984,-226.40558579147296,-77.3531645187821,217.43324424309324,-91.19590214412898,-137.47285529242774,95.92060295254916,-912.8815415162359,-1884.5307348735644,-2482.5833275890677,-1488.1259383695028,-1209.5391798048124
-203.94915040590095,-234.67865502849241,-71.97626125126226,221.65071055677842,-92.92405554241466,-143.95692019601674,94.59650216008892,-914.2903383399707,-1893.7940767316597,-2482.878469520143,-1495.2537455248419,-1234.3330584993566
-202.96674447622567,-245.7257472199866,-65.61277914709224,227.62943629257362,-94.73919987094915,-152.86269915418185,92.43564328051056,-916.1925980840585,-1904.5996463158071,-2482.6680934660253,-1504.220541070629,-1265.0719654264506
-202.1813611125917,-258.80114291647453,-58.38550890478745,234.59761600299484,-96.62270982057132,-163.19817646936875,89.33395966571365,-917.5747538280987,-1916.8901657026922,-2481.8085915213182,-1513.6389510702124,-1298.9835178168648
-201.4156630685067,-272.77436526415204,-50.42160443452105,241.60391519232425,-98.55478000635591,-173.81590176934498,85.4886804116135,-917.4186731869119,-1930.395905743438,-2480.140635647219,-1521.958227669016,-1332.9344711202466
-200.45180264500712,-286.07981203064884,-41.836156695174964,247.6337262604146,-100.51915535653313,-183.68166525451588,81.73946691242647,-914.8393923209104,-1944.155600461317,-2477.5434844306524,-1527.7610613517675,-1363.929716013936
-199.08052754457594,-297.05849354436134,-32.733768758342,251.7589049500461,-102.50000201607502,-191.87280440465457,79.13475975128978,-909.0663043020008,-1957.1447664618331,-2473.899982550009,-1529.7733207892409,-1389.3234927551011
-197.07615810664004,-304.01482623777184,-23.246675395425427,252.9509030465213,-104.47827109650045,-197.28784021968212,78.58402459396346,-899.7778332398016,-1968.5283098916614,-2469.0713193352,-1526.380208591698,-1405.9788110363672
-194.28357597886617,-305.6991817914738,-13.487912526030257,250.49441186514264,-106.43403722925663,-199.07142392600736,80.67852170303006,-886.3053311185731,-1977.8378804206998,-2462.909651013052,-1516.1916781062382,-1411.528481989573
-190.74136967997202,-301.99628032293845,-3.5074294382657736,244.50603746376268,-108.34591855825879,-197.01234186146635,85.21774767796248,-866.9945313715041,-1985.7643662192932,-2455.238399003386,-1498.5566749912275,-1405.741916285778
-186.57991478803558,-293.3464568346643,6.66855095187916,235.49495031941228,-110.19207450069047,-191.20787101435653,91.61170949991349,-840.0197793558308,-1993.455675739309,-2445.872962132677,-1473.1922737656187,-1389.3951892412445
