I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
1674.2953636336338,3232.1695984868406,1731.7913045361722,-2500.1382349921882,-95.89713163828671,2493.7806265118115,3633.067041549071,3167.72522540606,3365.4930641305377,3426.316361497427,3555.978611820168,2516.5135735753965
1707.7078481893773,3276.146456912197,1762.9840876689136,-2533.1873337190445,-105.56856306310314,2523.9455328192703,3662.6863212112294,3199.9590295927487,3400.8992255490316,3466.013822834917,3592.067086032477,2550.9990652199995
1772.6509218783099,3408.065149318871,1848.127424550939,-2624.299317922863,-123.42698616077494,2623.8942011967556,3845.1698391919845,3380.9844162048043,3586.145177758377,3664.54109215381,3779.1640678231547,2682.384741512458
1885.3326180249578,3662.5386220781434,1999.6399526780626,-2798.9956400172605,-150.9628776712923,2819.3334305737694,4227.221767361646,3750.1152832557627,3964.575519667636,4070.8741147626884,4161.168736858032,2939.7273806684334
2038.11219602094,4036.876526118438,2215.483558865767,-3054.9918376232476,-189.02299630754214,3109.210739875867,4819.413369353805,4316.56649539015,4547.203844924624,4692.278089730831,4745.93771516553,3329.913026573317
2219.484790462855,4517.423856419454,2489.784086923112,-3380.883840008671,-238.12411429839787,3485.0412769913387,5606.764652539023,5066.43857172087,5321.014365873853,5512.355948813761,5519.2482952486525,3843.615381758676
2423.7421328695673,5095.994021796608,2824.5305614932763,-3769.692704243788,-299.05784233187654,3943.2497135532954,6567.246176939419,5983.92397524751,6266.197694762373,6510.012456061256,6461.959188463124,4469.736279942476
2645.0285036870864,5757.91394604776,3218.1020890552713,-4210.4503899842275,-372.06316613311685,4474.438208455397,7666.014959968374,7041.17297688759,7350.097186638384,7651.400426144094,7542.664349274155,5189.361693049599
2882.0597620392423,6490.672953543187,3659.3421553205817,-4695.905187030961,-456.3803681259675,5066.646112634829,8880.169159777262,8214.741711227658,8548.464304097295,8912.828461620697,8738.420134532751,5989.496058340997
3135.2417718482293,7280.376232724961,4134.142341149241,-5218.553476557454,-550.7794315677532,5705.648877820632,10185.675493048871,9478.698192093412,9835.509901422007,10269.242816580065,10024.54814479829,6855.976407436671
3400.3579953152184,8095.1888281196,4624.337506386723,-5757.466985363162,-653.2693588061027,6364.797927972864,11528.199504576594,10779.95026537888,11159.363014888388,11665.990971681455,11348.448287678531,7754.674093530059
3670.6830940130567,8903.706440105305,5113.624294184734,-6291.277050866391,-762.1837501696047,7018.640786349046,12856.531242472596,12069.902837874753,12472.026339243952,13051.260097445242,12660.814708975679,8653.140996476084
3937.1064518066564,9693.197951762846,5597.043054888945,-6810.244744653119,-877.5464849107703,7658.092619665336,14151.050342013254,13335.296786296816,13755.043398578617,14404.32914593111,13943.604171612067,9540.953748165912
4188.741577897468,10455.479365448007,6073.667570960746,-7307.061894578068,-999.8440716339719,8278.698610035499,15400.697957762219,14573.060387644482,14998.62491246224,15712.886683364872,15187.423288670952,10413.374627322986
4415.745401390557,11182.269701695734,6542.4313921460525,-7774.592888313362,-1129.5221899802423,8875.453407733408,16597.780552671633,15780.67630819795,16197.119809708527,16967.60412634671,16385.126258304186,11265.204752194906
4608.426611465188,11862.981681120657,7000.1439662257235,-8204.330108767395,-1266.3288707269646,9441.537147109751,17731.259083562145,16951.864942469623,17341.524041621276,18155.82176473124,17526.259605972602,12089.356029950888
4757.0771139352055,12474.42094230129,7434.644250753996,-8579.736656343532,-1407.8424106094346,9959.982330080415,18765.800185017204,18056.892483719785,18398.489903281712,19241.25468904661,18577.55128913703,12865.777648381962
4853.205097922315,12989.799491111648,7830.659960275622,-8882.302438686827,-1550.7793040491222,10410.649022541034,19658.846488246912,19057.632082195596,19327.249830072797,20180.636919668363,19498.60197537736,13569.74292626647
4888.694591472308,13386.48004676118,8175.565786129689,-9096.257437202145,-1692.1159711871508,10777.193446891293,20375.56370570836,19923.016439402047,20094.613614497724,20938.338690582194,20256.427065288604,14180.75816745627
4858.3672229665735,13647.842835340578,8459.336213214463,-9210.432782835634,-1829.1470031667868,11047.254984843206,20889.38201971105,20627.651736363634,20674.601796580904,21487.078522190794,20825.514434893616,14681.809038299043
4763.34621073607,13771.105989800913,8678.327214017883,-9224.154725343664,-1960.450014046904,11217.294943916353,21193.361270180045,21160.060315742445,21058.63813142275,21819.182851063582,21197.49530507184,15063.829220169628
4608.247030990276,13761.408497702,8832.620189328634,-9142.67748684407,-2085.2212010668927,11289.11971406583,21292.1604508749,21517.36475541219,21248.613876453794,21938.6314989449,21373.084077549585,15322.951594078997
4399.120131170039,13624.29797740643,8921.68145268091,-8971.776377410606,-2202.1921694506837,11264.378923121467,21190.334794162027,21695.79546156771,21246.083885208598,21849.568426725786,21357.203317344378,15455.566408128725
4143.45317009726,13367.486130282698,8945.897918444018,-8718.910329117136,-2310.181160839243,11146.485835681377,20895.444372816437,21693.66339707974,21055.28843675902,21559.29340950094,21152.850514610538,15459.649211158454
3848.2620956149694,12998.649682445044,8906.40013884916,-8391.319975991317,-2408.2025811561966,10940.236884767537,20415.774982075556,21510.894931416275,20681.538147779036,21075.93350502972,20764.625348650647,15334.264836319304
3520.645087049886,12526.108254309565,8804.814337000156,-7996.551244839044,-2495.2321592608605,10651.39578971516,19761.105196941375,21149.39098288585,20131.812314381732,20409.261160979586,20202.340657477165,15080.214653614685
3169.3431838048505,11962.176625578017,8644.585408415185,-7545.034624460167,-2570.5425525909336,10288.40631183941,18947.239265515655,20615.8500863267,19418.631683972897,19575.150893993567,19477.723880914764,14701.629236576913
2803.115101423574,11320.933971983675,8430.212180084327,-7048.105546960504,-2633.3302201711526,9860.956335902416,17993.643653790477,19921.601631425103,18558.478693565954,18593.34771600533,18607.646557301174,14206.293541514397
2429.5332774915346,10616.312267113903,8166.060235934502,-6516.325455858665,-2682.081717463633,9378.071386636622,16921.312255605248,19082.153289455982,17570.245196667307,17485.46912483434,17611.591068923863,13606.138625693373
2055.7273019723107,9862.913456403996,7856.987623124799,-5960.332019828598,-2715.1509119385782,8849.097924309644,15753.228454315125,18116.39500839425,16475.274428181605,16275.330596290254,16511.32922865769,12916.031729116694
1688.4908536842936,9076.252721626208,7509.23920365602,-5391.074162210227,-2731.3400160348997,8284.713693706113,14514.540948357208,17046.807553896542,15297.5870488626,14989.112507133146,15331.058185981734,12153.156124844447
1334.2709221794219,8271.658629809535,7129.081427358953,-4819.197388682864,-2729.5629988485857,7695.5417018179,13230.406574474962,15896.418390184797,14061.404686215132,13653.056500573412,14095.225046414958,11335.417325602744
999.6312766553131,7463.616380256847,6721.77839241283,-4254.932674992271,-2708.916804250273,7091.336104913453,11923.92297565167,14684.943769654912,12788.46448778595,12291.14346961643,12825.993912345613,10478.860509394775
691.1165388342229,6666.913326514613,6293.123010610137,-3708.6575577876547,-2668.9561441321703,6482.314559585034,10618.611580847584,13432.691696170023,11501.000659576817,10927.796326449243,11545.97899932832,9599.80381430257
414.90242331868336,5896.7968882880905,5849.66035277743,-3190.7956900934937,-2609.3752549757546,5879.179865507491,9339.388160042892,12162.597611113617,10223.064910918769,9588.999495590297,10279.506512596765,8716.389179364014
176.8455665723509,5169.3143778723625,5399.639379324082,-2712.0798401440134,-2530.7424428997447,5293.877345776107,8112.73534892067,10900.465789726972,8980.763027712197,8302.439925392719,9052.728422160331,7847.928675676932
-17.15419035005758,4503.292143554836,4955.432182799072,-2284.8330598492203,-2435.4750191221424,4741.894430033018,6969.918731536306,9679.091001209354,7805.818051388849,7100.899534667986,7896.901187422152,7016.527292230246
-161.71118281071216,3917.970146760588,4531.062643104876,-1921.4194831690645,-2326.92000187696,4239.780474232183,5943.211540147201,8533.740704851345,6731.510794788086,6018.287853987604,6844.5748484403675,6245.001788453754
-253.12726005882234,3429.1446192606945,4139.101308201521,-1631.6386385313438,-2208.5946207799116,3801.6784911877703,5059.42518542894,7494.856384058921,5785.935158374504,5082.817528566146,5923.118433211722,5552.771313219616
-288.1981565247714,3051.9149873464603,3792.184770847746,-1424.7150386435974,-2084.2036953839183,3441.431831321785,4344.49896536002,6592.605956838833,4996.530734843656,4321.8303362814895,5159.166640604951,4958.764990859303
-263.2629029616544,2802.0800631922734,3502.94076657101,-1310.4618047465358,-1957.2797743979022,3173.1754159290517,3825.942184517748,5858.687652131132,4392.23502546587,3764.3634053336627,4580.85947137078,4483.14821989305
-175.90099494790246,2692.6274253111933,3282.415564034879,-1296.8348671762142,-1831.1680257137966,3008.8432233276817,3527.0398487537836,5321.018005827131,3997.927030606593,3435.070725332929,4212.320595409154,4143.673632374481
-25.185050997134823,2733.919652666758,3140.9946197687746,-1389.2371320197756,-1709.0292126464842,2958.7589928663665,3467.062217304312,5004.600991816194,3834.908008396239,3354.445441096474,4074.0029865636707,3955.6978014752713
186.94393548252424,2929.7185328537785,3085.3706414411304,-1589.0887249233044,-1593.860357343469,3028.1273196637662,3654.8840131672396,4924.642823320893,3914.3541734622913,3532.125371558606,4176.3694833294185,3928.228951548607
452.9842737838855,3270.77926414013,3114.5701286500193,-1887.9256782420628,-1488.9707924084082,3211.8704494895264,4078.626584805511,5076.279898261353,4227.052481204146,3956.0343883233663,4509.85972954673,4057.6491014642593
762.4079834444007,3740.5491164316286,3223.3517820760685,-2272.276477746776,-1397.4912568066734,3499.157489161958,4714.74131354752,5443.3350467017235,4752.31102185077,4601.882460634551,5053.620835021875,4333.07444245614
1104.4202278567257,4320.4483787891595,3404.6711858254357,-2727.5334371365957,-1321.496430974963,3877.246724949374,5536.413163258613,6005.584582104397,5465.879499857907,5441.949957336467,5783.357223221788,4740.980028175223
1467.0621484451322,4988.859662277313,3649.724035456025,-3236.9839298672396,-1262.8839173874023,4331.01119149553,6511.856797773177,6738.002529898441,6338.625319343582,6443.31437384961,6669.94302140001,5264.641961083611
1837.9988413957892,5724.014428894478,3950.4050581001347,-3783.7055869140067,-1224.0835834881036,4845.606580159299,7608.932577473543,7616.211584067143,7341.438525228634,7572.661555262874,7684.1513330478,5887.441745851097
2205.2715965095017,6504.1670589116275,4298.429626735248,-4351.002385004182,-1207.3199119935227,5406.117493908396,8795.284855656388,8615.176690517997,8444.820886895763,8796.419448688677,8796.362757559362,6592.076321896459
2556.180309070479,7304.58945653036,4683.133689717283,-4920.297847459347,-1214.2823589707461,5994.965091208222,10033.276778032116,9703.809748513282,9613.761716086268,10075.533505903531,9971.529115254027,7357.169691736591
2879.76102759288,8102.171114802328,5093.747391806128,-5474.689522203064,-1245.4693507512407,6595.329058665137,11287.455870545828,10851.37684450723,10814.737484032337,11373.1900689841,11176.158232881075,8161.382590538645
3169.6352380422613,8879.881382860935,5520.960492661526,-6002.594026222825,-1300.1426667748335,7194.1498240661,12531.897570855575,12032.663252646757,12022.078016072492,12662.262550532041,12384.824085584505,8986.796090161955
3421.8316485340038,9623.53502576788,5955.788535880905,-6495.040878867884,-1376.4816512613916,7779.947529567202,13744.822861056053,13224.204153205968,13213.246506466598,13919.761296177867,13575.377290192368,9816.867211598548
3633.4561074629128,10320.501306083224,6389.779800994329,-6944.394194863669,-1469.5189625792032,8342.272270490641,14906.259018905856,14404.057098196772,14367.531711721187,15124.763577056112,14727.366755078432,10635.861475424057
3802.675826853585,10959.386446420445,6814.461549007983,-7344.148187826263,-1574.1422091710147,8871.277878344441,15995.890726288748,15550.478344677798,15465.142034402339,16257.74656644523,15820.377436600756,11426.180264869263
3927.1186382584915,11527.239821797459,7219.780826904019,-7686.686330590796,-1690.647914516266,9355.55722875747,16995.42826020384,16637.375447778966,16482.438768594737,17295.49574232293,16833.09543414586,12173.621167472507
4004.6219118492745,12011.307195235167,7595.467312627095,-7964.57556358013,-1819.3573164242055,9783.684277996685,17878.637740906044,17638.12023591375,17395.465833090064,18214.563578119534,17739.839907641417,12857.571009828673
4034.7514299897466,12401.72859709664,7932.501161021267,-8172.701397118322,-1955.0241458599667,10146.2921869055,18629.786627235997,18529.951334686106,18184.74365873065,18996.468194102716,18522.428656778844,13457.931392000357
4017.6084130802396,12689.936648691246,8222.53382457937,-8306.873318987793,-2091.6728381609937,10434.967817053614,19233.096260405262,19291.985872800222,18832.51859746895,19624.39017316351,19163.474800648986,13955.584166300387
3953.0058751166794,12867.830903348184,8458.056561144702,-8363.01788432675,-2224.476281015621,10641.90123796172,19672.694202792256,19905.445124235775,19321.99430877576,20081.742726006793,19646.398484384183,14346.829654748604
