I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-486.05862806020207,-651.25512896667,-57.5527036371266,554.3717034738435,-181.46774851308714,-384.6375282961859,147.9821877133562,248.14296074733514,-397.4847343074005,-798.0535656028169,-608.7012635226761,-603.8865471252684
-497.50152807221133,-655.8893695716225,-47.34492987833735,557.1308336243657,-193.20228437978608,-391.7444020693874,150.27921739054915,259.9937528536703,-391.5213039814671,-789.6187240420988,-601.6197666445457,-598.2598966839524
-520.5094808923955,-668.217149104479,-31.68433641064746,571.1313400451469,-214.59170827025045,-397.34740223922273,155.1006768653443,279.36639844138415,-377.2344654281167,-779.5481132546093,-587.6942526219514,-590.0179320400546
-554.4829189164404,-689.4250510524031,-11.14066882552941,597.8872878577157,-244.74140004316715,-401.3040773998254,162.5517300680616,305.64276009591185,-354.899450239782,-768.299393338915,-567.515709838427,-579.65980675569
-599.0023856524947,-718.8612942382298,14.063060661578435,636.3199822004243,-283.30290728318624,-403.7528014257694,172.42178833280806,338.4375760141738,-324.96696431421793,-755.7416816811121,-541.3311815638609,-567.0743562516383
-653.5872087821077,-755.0204341717663,43.82317076472776,684.1839575149156,-330.0391452560534,-404.97934556824544,184.31080260719915,377.4663428182313,-288.0449713913623,-741.5175864872946,-509.34719169104096,-551.9030037921578
-717.2258766111466,-796.1725557275962,77.66906567124778,739.0088417614403,-384.24412761472934,-405.3018560199612,197.84535919655755,421.97565876893816,-244.95550235896476,-725.3141225538598,-471.94443070175737,-534.0348046347273
-789.2583828943639,-840.921323927449,115.21920846763255,798.9346075578202,-445.3243778779971,-405.0655374002847,212.59027182752462,471.51953251589464,-196.39362517207996,-706.7442992487503,-429.48503377595193,-513.3524374766577
-870.1502840803734,-889.4705086027037,156.51693004526857,864.547737853198,-513.1241245988049,-404.54459703452665,228.04067333069534,526.6669318783205,-142.57168086826553,-685.4696341847392,-382.3217220328611,-489.714336504934
-960.4156644565578,-942.4693509716751,201.52114327944312,937.1425739125052,-587.3632611639665,-403.9821982534255,243.71363076723077,588.1005635004481,-83.63558186058943,-661.2134240012596,-330.88639090680886,-463.03442043569476
