I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
560.0474688252881,439.7873455506782,-35.95600838828202,-509.45626720438804,324.8987686450053,184.70893863271988,786.116737124048,2703.17225110829,1259.699406695663,1219.5236163380066,949.3784977836426,690.8443291452597
561.5554548215857,450.60888090862784,-33.24999911220342,-515.103861585659,325.6628316289354,191.90841469206063,791.7914325144177,2708.266420899054,1261.0372449232598,1221.3299542408383,958.8140080539533,692.6611907271059
566.2179148424658,466.1043586167862,-29.862793108670818,-524.642109851907,326.2735554514769,201.57545672352487,802.2909662917418,2713.1341036545823,1269.1942537253947,1228.2903891001297,973.4072765923635,699.4509050713253
574.2160732905842,486.0545149112458,-25.75393435731977,-538.141326149003,326.71261869095963,213.51516155284335,817.4388769122123,2717.788441207478,1284.4139730070792,1240.6379649887149,992.861985674838,711.3100617127589
585.3414174948307,510.2180162256595,-20.96065800421187,-555.3614185124379,326.96275043686717,227.65059525353198,836.8878150903456,2721.837193483216,1306.048754621309,1257.899696813344,1016.7966481445486,728.0370297814183
599.1835205158429,538.3058169956453,-15.565974146050714,-575.897933194138,327.0077391753711,243.94108108414744,860.1758635156218,2724.74872081619,1332.9798475193047,1279.2785142511639,1044.7239943688185,749.2323595366927
615.2760864168695,569.9113299659966,-9.669279931017755,-599.2352074955863,326.83079587245487,262.2685185903522,886.6646759987593,2725.896242172862,1364.0138155719517,1303.6897708316228,1076.0669212481093,774.3234766105086
633.1006752857937,604.5895774535412,-3.3688655875883518,-624.8123949526506,326.416556348924,282.51061424553336,915.6915566558504,2724.6135120852127,1397.7646816631166,1330.0077957120632,1110.202962912386,802.6207120561643
652.2322769805087,641.9267209337218,3.2802342737375176,-652.2047116309807,325.75306923167165,304.56490502057807,946.7803438620764,2720.450738002372,1432.8245754627478,1357.6150368978435,1146.4991028219126,833.4862018207938
672.2595301687156,681.4604053361268,10.246775764608588,-680.9991760475627,324.8291888973882,328.2890222865918,979.4315938395152,2713.0298418271423,1467.8398071177662,1385.9491139272195,1184.3041598412888,866.1911011023351
692.6366728613178,722.661875337835,17.48116114209563,-710.6531586136393,323.63405737091165,353.51859699072287,1013.0020292147773,2701.8001606221055,1501.288545088048,1414.1251260415938,1222.923192763274,899.7639780621618
712.8186791535549,764.912685988535,24.95676006420029,-740.5947920118092,322.15525025832596,380.0087941300897,1046.7076329470992,2686.080355586695,1531.8804693097534,1441.0788049337607,1261.6694942395106,933.1416151556728
732.3149860125745,807.4056801062936,32.69965920559262,-770.2118751956242,320.374821207525,407.32135636798347,1079.4356418577406,2665.366281362687,1559.0145947108676,1465.3068296682225,1299.9078393575082,965.147909634563
750.6521060802512,849.2446381520068,40.754557638147034,-798.8625641119916,318.2729573716502,434.924664162781,1109.9222870486417,2639.156996758217,1582.3882860454908,1485.1067158850453,1337.0213385811192,994.5453627364755
767.4720977531402,889.5949712922363,49.175473365668154,-826.0224615844353,315.83192595944615,462.31545456210284,1137.0829446476525,2606.040071859828,1601.7401804699605,1499.1848783907378,1372.4123821164249,1020.337637598126
