I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-400.79233268664694,-342.53694616907245,82.22823276621399,376.66095068992354,-213.4087150373189,-125.8639311871126,154.12052440090216,-265.1728531423369,-359.24112352735125,-474.46944022365193,-447.55275129315123,-418.02914581990797
-402.91963934548306,-344.6430864650872,81.81085154669454,379.03421448803243,-214.50040020453864,-126.35517768779079,159.6155295384908,-262.0113680707457,-360.4679173406633,-475.41113892025595,-449.12008545823966,-418.56202144079253
-405.023329443851,-346.7404818512736,81.3586986084127,381.3927307475334,-215.57942410901796,-127.01793661717909,166.64181932094354,-254.9762222398497,-359.5230810896135,-475.64348089341087,-448.8739248707046,-418.78537597104173
-407.08552587553686,-348.81373402946934,80.89952801605457,383.71834762616794,-216.6356584607811,-128.0045281975258,170.8644300770649,-245.0047766970935,-356.10572366363766,-475.07646056251826,-446.587379302264,-418.65179882824737
-409.0841027807235,-350.84502142863954,80.43166208326818,385.989494823822,-217.65499291026433,-129.24084197539935,174.10471387379317,-233.07278528241412,-350.67723802419647,-473.8518852735375,-442.6303530150975,-418.23814852003096
-410.99530731696456,-352.8156900883955,79.94902978992961,388.1833644582163,-218.6215854324757,-130.5577251640585,180.01988857036133,-220.14294772256756,-344.0590512409173,-472.21793038480934,-437.65446543115064,-417.6803786414585
-412.7931925212078,-354.705356118966,79.44583960775078,390.27502114938187,-219.51769788234017,-131.82366404243024,187.9090503018484,-207.63361455067533,-336.9444967006391,-470.38370354520737,-432.2169666064007,-417.091874007297
-414.4526697285436,-356.4944277486556,78.90119098300119,392.2404486599403,-220.32597192066075,-132.94112087138507,196.4492650601764,-196.95330329314154,-330.1635410366805,-468.6243753146955,-426.9968242943054,-416.60769314840365
-415.95459201885956,-358.16787477236136,78.27941331838667,394.0612973805001,-221.033419402854,-133.92980413528255,204.54423045956108,-189.07608455790506,-324.68617288109846,-467.30563529192847,-422.80362611476056,-416.386544706887
-417.28158436433915,-359.7119792178492,77.5424808102735,395.7208688044896,-221.62822710755083,-134.86362096800394,210.49708609812984,-184.67474184050576,-321.3861086280153,-466.77371140323083,-420.3763372504544,-416.57120055808684
-418.41505214573607,-361.1123060752219,76.6516609590507,397.20146502783905,-222.0973355558653,-135.77564647664454,212.58355023731912,-184.0622253692437,-321.1786204252933,-467.3787953465632,-420.48875604617643,-417.3109345620919
-419.33598473141916,-362.3539065445937,75.58078004078835,398.484837704005,-222.4270863280919,-136.68351646978692,209.86471495676494,-187.25836815778894,-324.619745550273,-469.3301499056939,-423.6101155874017,-418.69586722351875
-420.0221613624276,-363.41875045889515,74.33863833511292,399.5491974212903,-222.6012838934617,-137.57256955934568,202.99809978490887,-194.08014737728251,-331.3200444647877,-472.4667739941259,-429.41163839939804,-420.6601992197177
-420.45066733477853,-364.2880255351005,72.95032579455719,400.371897921931,-222.6029492518811,-138.4096482287603,193.34048270564716,-204.12005739793327,-340.4483900291805,-476.454275285751,-437.1931967688559,-423.06534708698376
-420.6031890482604,-364.94633055847754,71.43743652145355,400.93458701808066,-222.41806511305634,-139.18650765794186,181.99015328657168,-216.96348108991987,-351.1885188605444,-480.97429116905704,-446.2598153836165,-425.7756464157938
-420.46210784791435,-365.3788126478961,69.82644091371674,401.21958411270685,-222.03324843547756,-139.90332016737602,170.12473560452955,-231.83117914263303,-362.5925515315844,-485.6608184385627,-455.81714245107247,-428.6337323245068
